name,population,HDIRank,GNI,lifeExpectancy,povertyPercent,popUrbanPercent,cleanWaterAccess,averageSchooling,electricityAccessRuralPop,electricityAccessTotalPop
Eritrea,3.5,182,1708,65.9,No Current Info,40.1,No Current Info,3.9,37.73939653,45.51332092
Estonia,1.3,30,30379,78.6,No Current Info,68.9,100,13,100,100
Eswatini (Kingdom of),1.1,138,9359,59.4,19.2137748,23.8,69,6.7,No Current Info,No Current Info
Ethiopia,109.2,173,1782,66.2,83.50384235,20.8,41,2.8,20.18473012,33.41859055
Faeroe Islands,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Falkland Islands,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Fiji,0.9,98,9110,67.3,No Current Info,56.2,94,10.9,95.3480766,97.11949158
Finland,5.5,12,41779,81.7,No Current Info,85.4,100,12.4,100,100
France,65,26,40511,82.5,No Current Info,80.4,100,11.4,100,100
French Guyana,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
French Polynesia,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Gabon,2.1,115,15794,66.2,14.84845132,89.4,86,8.3,49.78388998,90.30747223
Gambia, The,2.3,174,1490,61.7,No Current Info,61.3,78,3.7,14.94064073,46.48666382
Georgia,4,70,9570,73.6,No Current Info,58.6,98,12.8,99.98825604,99.99349976
Germany,83.1,4,46946,81.2,No Current Info,77.3,100,14.1,100,100
Ghana,29.8,142,4099,63.8,30.07410467,56.1,81,7.2,60.28639459,75.71527863
Gibraltar,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100
Greece,10.5,32,24909,82.1,No Current Info,79.1,100,10.5,100,100
Greenland,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Grenada,0.1,78,12684,72.4,No Current Info,36.3,96,8.8,91.87168884,91.87168884
Guadeloupe,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Guam,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Guatemala,17.2,126,7378,74.1,28.881827,51.1,94,6.5,84.12952703,90.50629425
Guinea,12.4,174,2211,61.2,61.86278462,36.1,62,2.7,2.385447769,30.96315193
